Published Date,Sentiment Score
2023/05/17,0.8285607099533081
2022/01/20,0.650977373123169
2024/12/31,0.8883861899375916
2024/02/16,-0.681601345539093
2020/04/30,0.031520210206508636
2024/01/07,-0.26885300874710083
2020/06/07,-0.8061859011650085
2024/04/24,-0.8103514909744263
2020/05/09,0.8148713707923889
2020/05/11,0.893612802028656
2023/05/06,-0.7899702787399292
2021/07/16,0.8422006368637085
2020/06/05,0.7788150310516357
2021/01/01,0.03300609439611435
2023/08/24,0.4486925005912781
2021/12/31,0.8006806373596191
2020/02/11,0.27878108620643616
2022/01/07,-0.6293871402740479
2024/02/25,-0.9122641682624817
2022/08/30,-0.6907931566238403
2020/09/09,0.8235195875167847
2023/09/09,-0.6497417688369751
2023/04/23,0.8779652714729309
2024/02/14,-0.5106858015060425
2022/03/10,0.9014703631401062
2024/10/22,0.017582420259714127
2023/03/21,0.6847847104072571
2021/10/26,0.3582337200641632
2021/03/10,0.696230411529541
2024/10/17,-0.698251485824585
2023/04/12,0.7823977470397949
2021/01/27,0.6831570267677307
2021/11/29,0.8550575375556946
2020/05/06,0.5545614361763
2024/11/05,0.8659752607345581
2024/12/13,0.8959868550300598
2023/04/05,0.8812011480331421
2022/03/14,0.06743356585502625
2020/01/20,0.00819326750934124
2022/12/23,0.8860931992530823
2022/02/28,0.6343256831169128
2021/07/22,0.7656316757202148
2024/03/06,0.8024507164955139
2022/09/05,0.760365903377533
2022/03/22,0.7777546048164368
2024/07/19,-0.8541834354400635
2024/05/21,0.919659435749054
2020/09/11,0.9069969654083252
2023/07/18,0.9167920351028442
2022/09/15,-0.0958506166934967
2024/09/28,0.06619775295257568
2020/10/03,-0.5628232955932617
2022/09/29,0.8972558379173279
2020/05/16,0.5880450010299683
2023/04/10,0.6173267364501953
2022/11/30,0.47519415616989136
2023/03/26,0.16987812519073486
2020/01/14,0.7947025895118713
2023/07/19,0.5145830512046814
2021/01/05,0.8981491327285767
2023/09/08,-0.8507965803146362
2024/04/02,0.715920090675354
2022/12/30,0.7922848463058472
2024/10/24,-0.7842954993247986
2020/10/15,0.8793098330497742
2022/07/20,0.6112275123596191
2024/09/11,0.9130826592445374
2023/07/20,0.5466498732566833
2024/10/31,0.01778661645948887
2021/08/27,-0.7673461437225342
2023/09/01,-0.21885091066360474
2022/12/29,0.876832127571106
2022/09/06,0.14229583740234375
2024/02/06,0.19745317101478577
2021/10/13,-0.4148998558521271
2020/11/11,-0.028008848428726196
2020/10/02,-0.2639141380786896
2024/01/21,0.8868976831436157
2024/01/19,0.828485906124115
2020/01/08,0.09078621119260788
2020/02/12,0.8954455256462097
2021/10/01,0.8861849308013916
2020/08/10,0.7952430248260498
2022/02/03,0.23352724313735962
2020/07/04,-0.06308236718177795
2023/11/09,-0.46932703256607056
2024/06/17,0.8758395314216614
2022/07/15,0.8165895342826843
2020/11/06,-0.5465149879455566
2022/07/04,0.7384496927261353
2022/10/21,0.9204753637313843
2024/09/06,0.5759886503219604
2021/07/17,0.8168780207633972
2023/02/13,0.8656257390975952
2020/01/16,0.09038469195365906
2023/07/02,0.24542851746082306
2020/07/21,0.15470609068870544
2024/06/05,-0.6794331073760986
2022/11/12,0.8741019368171692
2024/01/29,0.7497947216033936
2023/02/15,0.9003552198410034
2024/06/15,0.7722777128219604
2023/02/08,0.8129177093505859
2023/06/02,0.4913129210472107
2024/06/09,-0.7186580896377563
2021/06/21,0.4734856188297272
2023/12/14,0.017518609762191772
2022/03/08,0.7077398300170898
2024/12/19,0.07524343580007553
2024/03/04,-0.09278100728988647
2024/05/30,0.09635576605796814
2023/04/03,-0.3758838176727295
2022/10/17,-0.5571475625038147
2023/09/14,0.7676618099212646
2020/08/29,0.8752146363258362
2024/06/18,-0.8135156035423279
2020/10/08,0.7801094055175781
2023/05/04,0.7725348472595215
2024/12/09,-0.8229649066925049
2021/03/04,0.7451038956642151
2022/09/27,0.8213874697685242
2020/06/19,0.7981122732162476
2020/12/03,-0.8939210176467896
2024/08/29,0.006960688158869743
2023/08/28,0.877800703048706
2023/01/08,0.11113213747739792
2020/10/25,0.47389352321624756
2023/11/22,-0.010616987943649292
2024/03/05,-0.014574557542800903
2024/05/29,0.32225874066352844
2022/07/26,0.10080595314502716
2024/07/22,-0.9092092514038086
2020/02/29,-0.7407801747322083
2022/02/04,0.01037287712097168
2024/03/08,0.9264485239982605
2023/10/27,0.5906125903129578
2024/03/28,0.8067102432250977
2020/11/12,0.10932525992393494
2024/03/21,0.31710904836654663
2023/05/01,0.8954034447669983
2020/04/06,0.8260773420333862
2023/08/14,0.7131921052932739
2023/10/31,0.24406033754348755
2023/12/13,0.8863051533699036
2024/02/26,0.6723746061325073
2022/08/29,0.21118050813674927
2020/07/15,0.8879876136779785
2021/12/22,0.0016469471156597137
2023/11/06,-0.7664170265197754
2020/04/11,0.40054455399513245
2020/12/26,0.8751643300056458
2023/03/29,0.892981767654419
2022/02/16,-0.7340548038482666
2023/11/08,0.8574308753013611
2020/08/30,0.6263899803161621
2022/05/07,0.361799955368042
2021/01/07,0.7478837966918945
2021/05/02,0.8784639835357666
2022/01/26,0.6715115308761597
2020/09/04,-0.008590102195739746
2020/01/18,-0.9207370281219482
2023/04/21,-0.9298095107078552
2021/06/30,0.2626373767852783
2024/11/14,0.7734793424606323
2020/08/31,0.022932667285203934
2022/05/08,-0.7658609747886658
2023/11/01,0.8235592842102051
2022/09/01,0.6868079900741577
2022/03/04,0.806580126285553
2023/11/21,-0.3547809422016144
2023/01/20,-0.7121269702911377
2024/03/11,-0.7935747504234314
