date,1. open,2. high,3. low,4. close,5. volume
2018-12-31,1027.5318,1033.2294,1017.9142,1021.971,533533.0
2018-12-28,1024.0222,1035.5086,1022.837,1026.3012,692794.0
2018-12-27,1007.3394,1026.3924,1006.838,1021.0138,918201.0
2018-12-26,990.9304,1003.374,972.2878,1000.001,958885.0
2018-12-24,1004.4224,1005.5162,990.4746,993.7108,545989.0
2018-12-21,1028.5802,1031.4062,998.2232,1001.2772,1686245.0
2018-12-20,1024.6602,1031.9076,1017.8232,1027.623,618987.0
2018-12-19,1038.0154,1045.2172,1031.4062,1036.6024,2253797.0
2018-12-18,1022.837,1038.7904,1021.743,1036.01,607064.0
2018-12-17,1016.1822,1033.5942,1012.171,1030.677,756862.0
2018-12-14,1006.3368,1016.4556,996.0354,1013.493,777281.0
2018-12-13,1026.1188,1026.8026,999.6364,1008.9804,1276311.0
2018-12-12,1002.7814,1014.9516,991.9332,1012.3534,2091533.0
2018-12-11,971.8774,1002.9638,962.0776,999.3172,1932446.0
2018-12-10,1014.3134,1014.4046,988.1954,992.2978,2230483.0
2018-12-07,1032.6826,1034.8704,1011.0772,1033.0928,516957.0
2018-12-06,1046.0834,1046.4024,1019.4184,1024.1588,502997.0
2018-12-05,1043.5308,1056.567,1038.8816,1052.7838,541743.0
2018-12-04,1054.7436,1055.1084,1041.9354,1049.7754,417132.0
2018-12-03,1068.4636,1070.2412,1047.1316,1054.1056,590082.0
2018-11-30,1068.418,1081.1806,1060.1678,1064.9538,917680.0
2018-11-29,1056.567,1075.6198,1056.3846,1066.5948,835536.0
2018-11-28,1032.2266,1055.3818,1026.9394,1044.9438,2216909.0
2018-11-27,1011.4418,1029.583,1004.3312,1027.851,533331.0
2018-11-26,1011.852,1018.5068,1001.0038,1011.533,564537.0
2018-11-22,1016.1822,1025.663,1002.7814,1005.3796,728854.0
2018-11-21,1036.5114,1044.169,1009.2084,1013.9944,1008428.0
2018-11-20,1044.7158,1053.3306,1030.4946,1038.0154,953482.0
2018-11-19,1031.9532,1049.6386,1031.224,1047.9978,1038580.0
2018-11-16,999.226,1029.4918,999.226,1027.851,1419282.0
2018-11-15,999.135,1005.3796,991.0214,999.9554,577962.0
