date,Open,High,Low,Close,Volume,MA7,MA21,EMA
2020-01-01,1382.1062,1392.4076,1372.3064,1376.2718,922342.0,,,1376.2718
2020-01-02,1380.1918,1404.6232,1379.2802,1399.655,1466401.0,,,1393.8092
2020-01-03,1398.7888,1405.079,1388.761,1401.387,714913.0,,,1399.0553692307692
2020-01-06,1392.0428,1392.9546,1365.1502,1368.7966,914886.0,,,1378.6307
2020-01-07,1385.6616,1398.4242,1380.602,1390.2652,1018077.0,,,1386.4190842975208
2020-01-08,1374.7222,1398.8344,1374.7222,1380.1462,546124.0,,,1382.231417032967
2020-01-09,1401.387,1412.8278,1396.4642,1411.1414,520938.0,1389.6661714285713,,1401.5135557182068
2020-01-10,1413.0102,1420.0752,1403.9852,1410.9134,389015.0,1394.6149714285714,,1407.7810738414635
2020-01-13,1410.2752,1420.759,1402.6632,1407.039,462177.0,1395.6698285714285,,1407.2863328117062
2020-01-14,1406.1274,1413.466,1388.123,1393.9118,600416.0,1394.6019428571428,,1398.3698266020865
2020-01-15,1402.5266,1404.3042,1384.75,1389.308,457862.0,1397.5321428571428,,1392.3285747643188
2020-01-16,1393.9118,1406.6288,1393.4104,1401.7972,782871.0,1399.1795714285713,,1398.6410034660546
2020-01-17,1414.0584,1444.7344,1414.0584,1440.9512,1246625.0,1407.866,,1426.8478188473846
2020-01-20,1465.9296,1467.2514,1392.0428,1396.601,1315068.0,1405.7888,,1406.683268733222
2020-01-21,1394.5042,1409.318,1388.3964,1398.3786,650514.0,1403.998114285714,,1401.1468225252297
2020-01-22,1404.3954,1410.0018,1395.5982,1397.6038,402007.0,1402.6502285714287,,1398.7848074535386
2020-01-23,1402.4354,1405.307,1386.5732,1392.0428,396992.0,1402.3832285714286,,1394.2901357830415
2020-01-24,1392.9546,1400.6576,1384.4308,1387.2114,646748.0,1402.0837142857142,,1389.5709785821662
2020-01-27,1381.149,1389.627,1371.9872,1373.4458,384862.0,1398.0335142857143,,1378.8208595181395
2020-01-28,1373.856,1376.9556,1334.7932,1341.3112,766804.0,1383.7992285714286,,1353.814419832208
2020-01-29,1345.5502,1362.3696,1335.5224,1348.9232,723591.0,1376.9881142857143,1390.8143619047619,1350.5536066104244
2020-01-30,1352.7976,1352.7976,1312.732,1315.011,600840.0,1365.0784571428574,1387.897180952381,1326.858535536053
2020-01-31,1322.7598,1325.7226,1283.0588,1286.9332,987739.0,1349.2683714285715,1382.529476190476,1300.2416451784015
2020-02-03,1250.7418,1275.3556,1242.9932,1263.3678,951388.0,1330.8862285714283,1375.9571333333333,1275.6590817260467
2020-02-04,1274.444,1305.3024,1274.3528,1299.8326,1540580.0,1318.4035428571426,1372.6731333333332,1291.7747605753677
2020-02-05,1307.2622,1323.945,1303.7982,1320.0706,795151.0,1310.7785142857142,1369.3305333333333,1310.63865352513
2020-02-06,1324.583,1336.8444,1312.9144,1328.822,680931.0,1308.9943428571428,1366.8865238095239,1322.7608845083782
2020-02-07,1324.4008,1324.4008,1302.2484,1307.0344,395718.0,1303.0102285714286,1361.9290476190477,1312.2765615027922
2020-02-10,1303.6158,1317.837,1286.3406,1309.7692,441475.0,1302.2613999999999,1357.1126571428572,1310.6049871675973
2020-02-11,1317.9738,1336.115,1317.3356,1324.2184,708141.0,1307.587857142857,1353.1688190476189,1319.6805957225322
2020-02-12,1329.0956,1343.727,1327.318,1340.0806,578073.0,1318.5468285714285,1350.6054285714285,1333.2805985741772
2020-02-13,1348.9232,1348.9232,1333.4258,1343.6814,2428084.0,1324.8109428571427,1348.4327333333333,1340.2144661913924
2020-02-14,1347.2368,1368.3408,1324.8566,1355.259,1442548.0,1329.837857142857,1346.2166285714284,1350.2441553971307
2020-02-17,1358.313,1372.8988,1344.3196,1347.7382,1045469.0,1332.5401714285713,1341.7779142857141,1348.5735184657103
2020-02-18,1348.2852,1348.2852,1329.1412,1336.5252,748621.0,1336.753142857143,1338.9171619047618,1340.541306155237
2020-02-19,1345.14,1373.3546,1345.14,1371.258,587833.0,1345.5372571428572,1337.625704761905,1361.0191020517457
2020-02-20,1366.244,1374.6766,1352.3418,1354.2106,3052762.0,1349.8218571428572,1335.5593619047618,1356.4801006839152
2020-02-24,1346.462,1346.462,1312.3674,1317.1534,808436.0,1346.5465428571429,1331.9932,1330.2623002279718
2020-02-25,1321.8482,1323.1244,1285.3834,1291.1266,622554.0,1339.0387142857144,1327.4177333333334,1304.1718334093239
2020-02-26,1287.2978,1289.9416,1264.644,1268.4272,541690.0,1326.6341714285716,1322.4168476190475,1280.342077803108
2020-02-27,1267.151,1270.752,1248.554,1263.3222,699389.0,1314.5747428571428,1318.7030857142856,1268.995492601036
2020-02-28,1238.7084,1238.7084,1207.8958,1211.2232,789510.0,1296.6744571428571,1312.145942857143,1230.480630867012
2020-03-02,1238.3438,1247.7792,1188.296,1198.6428,720716.0,1272.0151428571428,1306.6046,1209.2554102890042
2020-03-03,1212.4538,1233.7402,1204.9786,1224.8974,912318.0,1253.5418285714288,1303.6505142857143,1219.683403429668
2020-03-04,1230.9142,1233.4212,1192.4894,1220.7952,3414821.0,1239.7763714285716,1301.6232476190476,1220.4246011432226
2020-03-05,1230.6862,1238.2982,1190.575,1195.589,857261.0,1226.128142857143,1296.6592666666666,1203.8675337144075
2020-03-06,1163.2264,1174.485,1131.8668,1157.8022,5215070.0,1210.3245714285715,1288.9322,1173.157311238136
2020-03-09,1134.9662,1134.9662,998.1778,1014.7692,3388246.0,1174.8170000000002,1273.9773047619046,1067.5652370793787
2020-03-11,1014.7692,1074.2524,1011.8976,1051.3252,12222267.0,1151.9744285714285,1261.800676190476,1056.7385456931263
2020-03-12,990.9304,1003.4196,956.7446,967.7752,2105309.0,1118.9933428571428,1245.5152476190476,997.4296485643754
2020-03-13,916.1776,1039.155,856.7856,1009.0716,4382123.0,1088.1610857142857,1230.5082571428572,1005.1909495214585
2020-03-16,971.4672,984.23,916.679,925.5216,1819450.0,1045.9791428571427,1210.7673523809524,952.0780498404862
2020-03-17,949.1782,965.405,915.266,919.7328,1947913.0,1006.5711142857143,1190.5793238095237,930.5145499468287
2020-03-18,932.5866,943.6172,876.2486,883.2224,2028469.0,967.3454285714286,1168.1013904761905,898.9864499822762
2020-03-19,843.248,881.9918,812.253,836.0462,3163366.0,941.8135714285714,1143.7351047619047,857.0262833274254
2020-03-20,856.0106,942.341,847.8516,930.0342,3592619.0,924.4862857142856,1124.3783904761906,905.6982277758085
2020-03-23,838.6898,867.8618,798.3052,805.7348,2518896.0,901.3376571428571,1097.4487142857142,839.0559425919361
2020-03-24,859.6572,884.6356,816.6286,859.7482,2070566.0,880.0057428571428,1073.9028857142857,852.8507808639787
2020-03-25,866.95,1050.1856,866.95,985.6886,237455895.0,888.6010285714285,1058.1188476190478,941.4093269546596
2020-03-26,993.6652,1018.4156,950.9558,979.763,1861382.0,897.1767714285714,1043.2920095238096,966.9784423182199
2020-03-27,1002.7814,1009.8008,954.6934,971.3306,176623620.0,909.7636571428573,1029.1445523809523,969.87988077274
2020-03-30,955.3316,979.0792,929.8518,941.1104,2982708.0,924.7728285714286,1013.8011333333334,950.7002269242466
2020-03-31,976.3444,1029.2184,956.1064,1014.131,4279134.0,936.7866571428573,1004.4157904761906,992.9874089747487
2020-04-01,1017.5496,1025.5262,952.4144,985.1416,1666531.0,962.4162,994.2490666666666,987.7568696582497
2020-04-03,1030.13,1031.5886,963.5818,982.908,2974854.0,980.0104571428571,982.7257619047618,984.5242898860832
2020-04-07,1008.2512,1106.4326,1003.693,1099.7776,2517690.0,996.3088857142857,976.9630190476191,1061.3598299620278
2020-04-08,1071.1528,1120.3348,1059.165,1086.7872,2165161.0,1011.5980571428571,971.781980952381,1078.3114099873426
2020-04-09,1104.1534,1123.7988,1087.79,1111.4464,1261451.0,1031.6146,969.5745619047619,1100.4014033291141
2020-04-13,1101.2362,1107.6176,1075.711,1084.1434,900325.0,1052.0478857142857,972.8780952380954,1089.562734443038
